Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2023,WI,Wisconsin,Vernon,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,9.1,,,7.5,10.9,"31,170","23,135",55123,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-90.8341650417426 43.5938998571469)
2022,OK,Oklahoma,Seminole,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,25.8,,,21.7,30.2,"23,565","17,848",40133,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-96.6156537381723 35.1680593598838)
2023,NV,Nevada,Elko,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,22.1,,,19.0,25.5,"54,293","40,093",32007,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-115.357816697339 41.146014947299)
2023,NM,New Mexico,Bernalillo,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,7.2,,,6.5,8.0,"671,586","538,537",35001,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma,POINT (-106.670270116226 35.0512991138255)
2023,VA,Virginia,Dickenson,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Age-adjusted prevalence,34.4,,,30.2,39.0,"13,640","11,035",51051,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-82.3509910253429 37.1259725353202)
2023,DE,Delaware,New Castle,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Age-adjusted prevalence,32.8,,,29.1,36.9,"578,592","456,332",10003,SOCLNEED,LONELINESS,AgeAdjPrv,Loneliness,POINT (-75.647957543666 39.5816046675309)
2023,CO,Colorado,Summit,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Age-adjusted prevalence,4.7,,,4.0,5.4,"30,465","25,681",8117,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-106.116409160612 39.63441475541)
2023,NC,North Carolina,Union,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,6.8,,,5.7,8.1,"256,452","191,719",37179,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-80.5307553094627 34.9884050314763)
2023,NM,New Mexico,Torrance,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,11.5,,,10.0,13.2,"15,633","12,406",35057,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-105.850629505811 34.6404731203673)
2023,MO,Missouri,Caldwell,BRFSS,Disability,Any disability among adults,%,Crude prevalence,39.5,,,34.2,44.9,"8,955","6,849",29025,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-93.9828207799922 39.6557701506874)
